Operateur;X;Y;2G;3G;4G;postcode
20810;147697.0;6838762.0;1;1;1;29200
20810;147698.0;6837006.0;1;1;1;29200
20810;147718.0;6836599.0;1;1;1;29200
20820;147745.0;6840480.0;1;0;0;29200
20801;147805.0;6823979.0;1;1;0;29160
20815;147877.0;6838761.0;0;1;1;29200
20815;147945.0;6843572.0;0;1;1;29850
20820;147950.0;6843572.0;1;1;1;29850
20801;147979.0;6799006.0;1;1;0;29790
20801;147982.0;6843617.0;1;1;1;29850
20810;148087.0;6837613.0;1;1;1;29200
20815;148088.0;6837614.0;0;1;1;29200
20801;148091.0;6837628.0;1;1;1;29200
20801;148146.0;6842502.0;1;1;1;29850
20801;148205.0;6860258.0;1;1;1;29880
20810;148211.0;6860254.0;1;1;0;29880
20820;148323.0;6837516.0;1;1;1;29200
20810;148324.0;6837517.0;0;1;0;29200
20820;148425.0;6836747.0;1;1;1;29200
20815;148440.0;6836762.0;0;1;1;29200
20810;148524.0;6836656.0;1;1;1;29200
20801;148528.0;6836661.0;1;1;1;29200
20820;148551.0;6838825.0;1;1;1;29200
20810;148555.0;6837987.0;1;1;1;29200
20801;148587.0;6838831.0;0;1;0;29200
20815;148652.0;6837910.0;0;1;1;29200
20810;148750.0;6840360.0;1;1;1;29850
20801;148917.0;6839329.0;1;1;1;29200
20810;148978.0;6839557.0;1;1;1;29200
20801;148997.0;6837778.0;1;1;1;29200
20820;149088.0;6840371.0;1;1;1;29850
20801;149095.0;6840372.0;1;1;0;29850
20815;149153.0;6840450.0;0;1;1;29850
20820;149477.0;6837139.0;1;1;1;29200
20801;149480.0;6836231.0;1;1;1;29200
20810;149482.0;6836210.0;1;1;1;29200
20815;149515.0;6836165.0;0;1;1;29200
20801;149558.0;6837196.0;1;1;1;29200
20810;149689.0;6837098.0;1;1;1;29200
20815;149692.0;6837097.0;0;1;1;29200
20801;149815.0;6770693.0;1;1;1;29760
20810;149844.0;6843394.0;1;1;1;29860
20801;149852.0;6843399.0;1;1;0;29860
20801;150238.0;6840176.0;0;1;0;29490
20801;150343.0;6772730.0;1;1;1;29760
20820;150395.0;6831904.0;1;1;1;29470
20820;150462.0;6791556.0;1;1;1;29710
20810;150488.0;6837542.0;1;1;1;29490
20801;150522.0;6837524.0;1;1;0;29490
20820;150583.0;6771074.0;1;1;1;29760
20810;150588.0;6771075.0;1;1;1;29760
20815;150617.0;6832088.0;0;1;1;29470
20810;150621.0;6832070.0;1;1;1;29470
20801;151046.0;6771419.0;0;1;1;29760
20820;151156.0;6851526.0;1;1;1;29860
20801;151156.0;6851539.0;1;1;0;29860
20801;151287.0;6847896.0;0;1;0;29860
20801;151455.0;6836769.0;1;1;0;29480
20801;151485.0;6839371.0;0;1;0;29490
20820;151910.0;6837619.0;1;1;1;29480
20801;152076.0;6838156.0;1;1;0;29480
20801;152199.0;6841129.0;1;1;1;29490
20820;152319.0;6841083.0;1;1;1;29490
20810;152319.0;6841107.0;1;1;1;29490
20815;152321.0;6841091.0;0;1;0;29490
20820;152487.0;6848410.0;1;1;1;29860
20810;152493.0;6848409.0;1;1;1;29860
20801;152495.0;6848411.0;1;1;1;29860
20801;152552.0;6836505.0;1;1;1;29480
20801;152740.0;6787700.0;1;1;0;29710
20810;153217.0;6801245.0;1;1;1;29100
20820;153218.0;6801243.0;1;1;1;29100
20815;153234.0;6801237.0;0;1;1;29100
20801;153334.0;6840530.0;1;1;1;29490
20801;153732.0;6791863.0;1;1;0;29710
20820;153829.0;6771523.0;1;1;1;29760
20810;153834.0;6771525.0;1;1;1;29760
20820;154089.0;6837741.0;1;1;1;29480
20810;154111.0;6837723.0;1;1;1;29480
20801;154115.0;6837737.0;1;1;0;29480
20801;154258.0;6801973.0;1;1;1;29100
20810;154301.0;6839018.0;1;1;1;29490
20815;154303.0;6839035.0;0;1;1;29490
20820;154306.0;6839028.0;1;1;1;29490
